Username,Ideology,Confidence (0-100),Notes,Country,,,,,,,,,
neo_4583,Secularist-Anti Govt.,80,tweets are anti sisi and anti morsi,Egypt,,,,,,,,,
sabrology,Islamist-Anti Govt.,65,"tweets are anti sisi and also seem pro morsi, but less so",Egypt,,,,,,,,,
amira_nosseir,Islamist-Anti Govt.,65,tweets seem anti sisi and pro morsi,Egypt,,,,,,,,,
nevinezaki,Secularist-Anti Govt.,90,definitely anti morsi and anti sisi,Egypt,,,,,,,,,
alarabiya_brk,,50,,Egypt,,,,news source,,,,,
ahmadfahmy,,90,definitely anti morsi and anti sis,Egypt,,,,,,,,,
elshaheeed,Secularist-Pro Govt.,50,"cant really tell for sure, the sisi tweets are pretty straightforward reports of major events nothing too ideological",Egypt,,,,,,,,,
rania_hafez,Secularist-Anti Govt.,80,tweets are anti morsi and anti sisi ,Egypt,,,,,,,,,
sondosshabayek,Secularist-Anti Govt.,70,"tweets are definitely anti morsi, also some anti-sisi tweets",Egypt,,,,,,,,,
lolagamal,Secularist-Anti Govt.,70,seems anti sisi and anti morsi,Egypt,,,,,,,,,
bbcworld,,,news,Egypt,,,,,,,,,
bad_way,,,couldnt locate any relevant tweets to determine pro or antis is,Egypt,,,,,,,,,
deena_adel,Secularist-Pro Govt.,70, tweets are anti morsi and pro sisi,Egypt,,,,,,,,,
moraslcom,Islamist-Anti Govt.,60,not enough tweets to determine if he's anti-sisi; however the tweets are pro morsi,Egypt,,,,,,,,,
nadiaglory,Secularist-Anti Govt.,70,tweets are anti morsi and anti sisi ,Egypt,,,,,,,,,
teewahby,,,not enough tweets to determine,Egypt,,,,,,,,,
alarabiya_eng,,,news,Egypt,,,,,,,,,
shabablibya,Secularist-Anti Govt.,50,tweets are libya specific,Egypt,,,,but does have a tweet that suggests she's anti morsi,,,,,
ramymahrous,Islamist-Anti Govt.,90,tweets are pro morsi and anti sisi,Egypt,,,,,,,,,
joeyration,Secularist-Anti Govt.,80,"definitely anti/morsi. less so anti/sisi, but anti/government in general",Egypt,,,,,,,,,
ahmedmoneim,Secularist-Anti Govt.,75,tweets are anti-MB and anti-sisi,Egypt,,,,,,,,,
idhooom,Secularist-Anti Govt.,35,"his account has been suspended, but those who tweeted at him seem to be anti-morsi and anti-sisi",Egypt,,,,,,,,,
elazul,Secularist-Anti Govt.,100,definitely anti morsi and anti sisi,Egypt,,,,,,,,,
gr33ndata,Secularist-Anti Govt.,100,definitely anti morsi and anti sisi,Egypt,,,,,,,,,
breakingnews,,,news,Egypt,,,,,,,,,
emanhashim,Secularist-Anti Govt.,80,"claims she reluctantly voted for morsi. her tweets are consistently anti-morsi, some anti-sisi tweets but not has many ",Egypt,,,,,,,,,
etisalatmisr,,,telecommunications commpany; not relevant,Egypt,,,,,,,,,
moneimpress,Islamist-Anti Govt.,85,tweets are pro-morsi and anti-sisi,Egypt,,,,,,,,,
25egypt,,,news,Egypt,,,,,,,,,
salamah,Islamist-Anti Govt.,90,tweets are anti sisi and pro morsi,Egypt,,,,,,,,,
esraa2008,Secularist-Anti Govt.,90,tweets are anti sisi and anti morsi,Egypt,,,,,,,,,
cnn,,,news,Egypt,,,,,,,,,
aymanm,Secularist-Anti Govt.,50,"hard to determine; he tweets freuqnetly about both morsi and sisi, but the tweets are pretty neutral. they're more updates about news than ideological stances",Egypt,,,,,,,,,
geeee,Secularist-Anti Govt.,55,"he seems anti morsi based on his tweets, but its hard to determine whether he is anti sisi too",Egypt,,,,,,,,,
muhammadmorsi,Islamist-Anti Govt.,100,Morsi's twitter account,Egypt,,,,,,,,,
